,ID,Flags,Mode,Runtime,Elapsed_Time
0,-O0,['-O0'],fast,0.215,0.215
1,-O2,['-O2'],fast,0.214,0.214
2,078758b6-c110-4a55-b59c-116e8db388ac,"['-O0' '-ffull-laziness' '-funfolding-creation-threshold=750'
 '-funbox-strict-fields' '-fcross-module-specialise'
 '-fsimplifier-phases=2' '-fdicts-strict' '-fenable-rewrite-rules'
 '-fno-opt-coercion' '-fno-pre-inlining' '-fliberate-case'
 '-fmax-inline-memset-insns=32' '-fdo-lambda-eta-expansion'
 '-funfolding-creation-threshold=750' '-fmax-worker-args=10' '-fcse'
 '-fmax-inline-memset-insns=32' '-fmax-inline-memset-insns=32'
 '-funbox-small-strict-fields']",fast,0.211,0.211
3,c80a7cd9-5eee-4119-8326-00641653ea0f,"['-O0' '-funbox-small-strict-fields' '-fspec-constr-threshold=2000'
 '-fcmm-elim-common-blocks' '-fexpose-all-unfoldings'
 '-fmax-worker-args=10' '-fmax-relevant-binds=6' '-fliberate-case'
 '-fstrictness-before=1' '-fcpr-anal' '-fcse' '-fexcess-precision'
 '-fliberate-case-threshold=2000' '-fmax-inline-memcpy-insns=32'
 '-funbox-small-strict-fields' '-fdo-lambda-eta-expansion'
 '-fcmm-elim-common-blocks' '-fdo-lambda-eta-expansion' '-floopification']",fast,0.213,0.213
4,c8c858ab-95d5-4748-96cb-d00f5cf9fb4e,"['-O0' '-flate-dmd-anal' '-fmax-inline-memset-insns=32' '-fdicts-cheap'
 '-fexcess-precision' '-fcross-module-specialise' '-fcse' '-fdicts-cheap'
 '-fcase-merge' '-fstrictness' '-fomit-interface-pragmas'
 '-fignore-asserts' '-fno-pre-inlining' '-foptimal-applicative-do'
 '-floopification' '-fignore-interface-pragmas' '-fregs-iterative'
 '-funfolding-fun-discount=60' '-fcmm-elim-common-blocks']",fast,0.211,0.211
5,26e1510d-46bb-4b5f-ba65-2b8a5b2caa6d,"['-O0' '-funfolding-keeness-factor=1.5' '-fliberate-case'
 '-ffull-laziness' '-ffun-to-thunk' '-fcross-module-specialise'
 '-fmax-simplifier-iterations=4' '-fsimpl-tick-factor=100'
 '-ffun-to-thunk' '-fcmm-sink' '-fworker-wrapper' '-fpedantic-bottoms'
 '-fignore-interface-pragmas' '-fexcess-precision' '-fspec-constr'
 '-fworker-wrapper' '-fvectorise' '-fpedantic-bottoms' '-ffloat-in']",fast,0.211,0.211
6,b50bf2e1-0729-46c9-9ac1-3aa41aec4de9,"['-O0' '-fenable-rewrite-rules' '-funfolding-dict-discount=30'
 '-fworker-wrapper' '-fcse' '-fpedantic-bottoms' '-funbox-strict-fields'
 '-funfolding-fun-discount=60' '-fcse' '-fregs-iterative' '-fregs-graph'
 '-fcross-module-specialise' '-fmax-relevant-binds=6'
 '-funfolding-dict-discount=30' '-fcase-merge' '-fcall-arity'
 '-fignore-asserts' '-fliberate-case-threshold=2000' '-fregs-iterative']",fast,0.213,0.213
7,3d61d57f-4a27-4931-976d-a97f25d251d3,"['-O0' '-funfolding-creation-threshold=750' '-fliberate-case'
 '-fspec-constr' '-funbox-small-strict-fields' '-funbox-strict-fields'
 '-ffloat-in' '-fno-opt-coercion' '-fmax-relevant-binds=6'
 '-fno-state-hack' '-fignore-interface-pragmas' '-feager-blackholing'
 '-fno-state-hack' '-fstrictness-before=1' '-fmax-inline-memset-insns=32'
 '-ffull-laziness' '-fworker-wrapper' '-fstrictness-before=1'
 '-fspec-constr-threshold=2000']",fast,0.212,0.212
8,29f8b08b-0b10-4ed3-b5f9-e84f5e525e9c,"['-O0' '-fmax-simplifier-iterations=4' '-fworker-wrapper' '-fcase-merge'
 '-fcall-arity' '-fregs-graph' '-fpedantic-bottoms'
 '-fmax-inline-memcpy-insns=32' '-fmax-simplifier-iterations=4'
 '-fdo-eta-reduction' '-fmax-relevant-binds=6'
 '-funfolding-dict-discount=30' '-fomit-yields' '-fcmm-elim-common-blocks'
 '-feager-blackholing' '-ffull-laziness' '-fsimpl-tick-factor=100'
 '-fenable-rewrite-rules' '-fstrictness']",fast,0.213,0.213
9,c8ecd581-dd63-42e6-b167-129003ce1051,"['-O0' '-fvectorisation-avoidance' '-ffun-to-thunk'
 '-fspec-constr-count=3' '-fcse' '-fdo-eta-reduction' '-fcse'
 '-fexcess-precision' '-fomit-interface-pragmas'
 '-funfolding-fun-discount=60' '-fcpr-anal' '-fstrictness'
 '-feager-blackholing' '-fdo-lambda-eta-expansion' '-fcase-merge'
 '-fno-state-hack' '-fpedantic-bottoms' '-fdo-eta-reduction'
 '-fno-state-hack']",fast,0.214,0.214
10,558f682e-e89b-4f0e-bb9b-f493511f1500,"['-O0' '-fdmd-tx-dict-sel' '-fmax-inline-memset-insns=32'
 '-funfolding-use-threshold=60' '-fdicts-cheap' '-ffull-laziness'
 '-fdicts-cheap' '-floopification' '-fworker-wrapper' '-fdo-eta-reduction'
 '-fexcess-precision' '-fpedantic-bottoms' '-fregs-graph'
 '-fcmm-elim-common-blocks' '-fdo-eta-reduction' '-fdo-eta-reduction'
 '-fmax-relevant-binds=6' '-fno-pre-inlining' '-fstrictness-before=1']",fast,0.212,0.212
11,eb651bc0-51fb-499d-b0fc-1c4fba8db07d,"['-O0' '-fregs-iterative' '-funfolding-dict-discount=30' '-fcall-arity'
 '-fpedantic-bottoms' '-fstrictness' '-fpedantic-bottoms'
 '-foptimal-applicative-do' '-fmax-worker-args=10'
 '-fspec-constr-threshold=2000' '-flate-dmd-anal' '-fno-opt-coercion'
 '-ffull-laziness' '-funbox-small-strict-fields'
 '-funbox-small-strict-fields' '-fmax-simplifier-iterations=4'
 '-fregs-iterative' '-fmax-inline-alloc-size=128'
 '-funfolding-dict-discount=30']",fast,0.213,0.213
12,53ded728-6ed1-4a79-bc9d-ce5750aadf63,"['-O0' '-fcse' '-fcross-module-specialise' '-fno-state-hack' '-ffloat-in'
 '-fmax-inline-memset-insns=32' '-fomit-interface-pragmas'
 '-fexpose-all-unfoldings' '-fpedantic-bottoms' '-fno-pre-inlining'
 '-fmax-inline-memcpy-insns=32' '-fstrictness'
 '-funfolding-keeness-factor=1.5' '-fspec-constr-count=3'
 '-fmax-inline-memset-insns=32' '-fdicts-cheap' '-fexpose-all-unfoldings'
 '-fspec-constr-threshold=2000' '-funfolding-use-threshold=60']",fast,0.211,0.211
13,ac100066-1ae4-44c6-944f-815525d37fe7,"['-O0' '-funfolding-fun-discount=60' '-funfolding-dict-discount=30'
 '-fstatic-argument-transformation' '-fcse'
 '-fliberate-case-threshold=2000' '-fcall-arity' '-fliberate-case'
 '-fignore-asserts' '-ffloat-in' '-funbox-strict-fields' '-fcall-arity'
 '-fmax-inline-alloc-size=128' '-funbox-small-strict-fields'
 '-fspec-constr-count=3' '-fenable-rewrite-rules' '-fexcess-precision'
 '-fstrictness' '-fpedantic-bottoms']",fast,0.212,0.212
14,fcf9f9f8-2b18-4d80-b3ff-2ce6ac5c6da2,"['-O0' '-fdmd-tx-dict-sel' '-fstrictness-before=1' '-fdo-eta-reduction'
 '-funbox-small-strict-fields' '-funfolding-fun-discount=60'
 '-funfolding-fun-discount=60' '-funbox-strict-fields' '-fno-state-hack'
 '-funfolding-use-threshold=60' '-fmax-simplifier-iterations=4'
 '-fmax-worker-args=10' '-fexcess-precision' '-fdo-lambda-eta-expansion'
 '-fcmm-elim-common-blocks' '-funfolding-creation-threshold=750'
 '-fno-pre-inlining' '-funbox-small-strict-fields' '-fspec-constr-count=3']",fast,0.211,0.211
15,b6c1890f-aec5-4524-b628-bfe587733b6c,"['-O0' '-fdicts-cheap' '-fenable-rewrite-rules' '-fmax-worker-args=10'
 '-fstrictness-before=1' '-fdo-eta-reduction' '-fignore-asserts'
 '-fcmm-sink' '-fstatic-argument-transformation'
 '-funfolding-fun-discount=60' '-funfolding-fun-discount=60'
 '-fdo-lambda-eta-expansion' '-fsimpl-tick-factor=100' '-fomit-yields'
 '-fspec-constr-threshold=2000' '-fno-state-hack' '-fspecialise'
 '-fvectorisation-avoidance' '-fspec-constr-count=3']",fast,0.212,0.212
16,1db10265-cf66-4bd8-9801-bb3289597375,"['-O0' '-fexpose-all-unfoldings' '-fignore-interface-pragmas'
 '-fcall-arity' '-fmax-inline-memset-insns=32'
 '-funfolding-keeness-factor=1.5' '-fignore-interface-pragmas'
 '-fomit-interface-pragmas' '-fmax-worker-args=10'
 '-fmax-simplifier-iterations=4' '-ffun-to-thunk'
 '-funfolding-creation-threshold=750' '-funfolding-dict-discount=30'
 '-fvectorisation-avoidance' '-fmax-worker-args=10'
 '-fcmm-elim-common-blocks' '-fworker-wrapper' '-fcmm-sink'
 '-fno-opt-coercion']",fast,0.212,0.212
17,1f363343-4f5c-4ee4-a9a9-e492eecc4a63,"['-O0' '-fenable-rewrite-rules' '-fmax-inline-alloc-size=128'
 '-feager-blackholing' '-fno-pre-inlining' '-fvectorisation-avoidance'
 '-fvectorise' '-funfolding-fun-discount=60' '-fdicts-cheap'
 '-fsimpl-tick-factor=100' '-fignore-interface-pragmas' '-fworker-wrapper'
 '-funfolding-fun-discount=60' '-fmax-worker-args=10' '-fliberate-case'
 '-funbox-strict-fields' '-fcse' '-fliberate-case-threshold=2000'
 '-ffloat-in']",fast,0.212,0.212
18,22acabae-288f-4a15-867e-99c709dda3c5,"['-O0' '-funfolding-fun-discount=60' '-fcross-module-specialise'
 '-fcase-merge' '-fmax-inline-alloc-size=128' '-fsimpl-tick-factor=100'
 '-fdicts-strict' '-fregs-iterative' '-fno-pre-inlining'
 '-funfolding-creation-threshold=750' '-ffull-laziness'
 '-fsimplifier-phases=2' '-fcross-module-specialise' '-ffun-to-thunk'
 '-funfolding-dict-discount=30' '-fpedantic-bottoms'
 '-fomit-interface-pragmas' '-ffloat-in' '-fcase-merge']",fast,0.21,0.21
19,d8b36220-e467-4796-a5d5-4060a58b14a8,"['-O0' '-funbox-strict-fields' '-fvectorisation-avoidance' '-fregs-graph'
 '-fvectorise' '-fenable-rewrite-rules' '-fignore-asserts'
 '-funbox-small-strict-fields' '-fvectorise' '-ffun-to-thunk'
 '-foptimal-applicative-do' '-fpedantic-bottoms' '-fspecialise'
 '-fvectorise' '-fmax-worker-args=10' '-fcpr-anal' '-fcpr-anal'
 '-fenable-rewrite-rules' '-fpedantic-bottoms']",fast,0.212,0.212
20,a9929424-dda6-4489-aa56-b2d0507f0bde,"['-O0' '-funfolding-creation-threshold=750' '-fcse' '-flate-dmd-anal'
 '-fomit-interface-pragmas' '-foptimal-applicative-do'
 '-fpedantic-bottoms' '-fno-state-hack' '-fliberate-case-threshold=2000'
 '-fno-opt-coercion' '-funbox-strict-fields' '-fstrictness'
 '-fstatic-argument-transformation' '-feager-blackholing' '-ffloat-in'
 '-ffun-to-thunk' '-fmax-inline-alloc-size=128' '-fenable-rewrite-rules'
 '-ffloat-in']",fast,0.212,0.212
21,4f6dac34-181e-4060-952d-797e3f00917f,"['-O0' '-funbox-strict-fields' '-fignore-interface-pragmas'
 '-fstatic-argument-transformation' '-fdicts-strict'
 '-fspec-constr-threshold=2000' '-fworker-wrapper'
 '-funbox-small-strict-fields' '-funfolding-fun-discount=60'
 '-fdicts-cheap' '-fsimpl-tick-factor=100' '-foptimal-applicative-do'
 '-fstrictness-before=1' '-fmax-worker-args=10' '-flate-dmd-anal'
 '-fspec-constr' '-fdo-lambda-eta-expansion' '-funfolding-fun-discount=60'
 '-fspec-constr-threshold=2000']",fast,0.213,0.213
22,b4a2d5cf-d103-4ccf-8b50-9bbf54478716,"['-O0' '-fliberate-case' '-fworker-wrapper' '-fstrictness'
 '-fspec-constr-count=3' '-fignore-interface-pragmas'
 '-fstrictness-before=1' '-fcall-arity' '-ffun-to-thunk'
 '-fignore-interface-pragmas' '-funfolding-keeness-factor=1.5'
 '-fsimpl-tick-factor=100' '-fcross-module-specialise' '-fdmd-tx-dict-sel'
 '-floopification' '-funfolding-creation-threshold=750'
 '-feager-blackholing' '-floopification' '-fdmd-tx-dict-sel']",fast,0.215,0.215
23,6a7e4fb9-f6c2-4c26-ae01-af8bbabaaa28,"['-O0' '-fexcess-precision' '-fcross-module-specialise'
 '-fpedantic-bottoms' '-ffull-laziness' '-ffun-to-thunk'
 '-fregs-iterative' '-fworker-wrapper' '-feager-blackholing'
 '-fno-state-hack' '-fcross-module-specialise' '-fmax-worker-args=10'
 '-fvectorisation-avoidance' '-fexcess-precision'
 '-funfolding-creation-threshold=750' '-fcmm-sink' '-fignore-asserts'
 '-fno-pre-inlining' '-fenable-rewrite-rules']",fast,0.212,0.212
24,7dff35da-09ba-45b3-a1c8-76b643402949,"['-O0' '-funbox-strict-fields' '-fno-opt-coercion' '-ffull-laziness'
 '-fmax-inline-alloc-size=128' '-fcall-arity' '-fomit-yields'
 '-fspec-constr-count=3' '-fspec-constr-threshold=2000'
 '-fvectorisation-avoidance' '-funfolding-keeness-factor=1.5'
 '-foptimal-applicative-do' '-foptimal-applicative-do' '-floopification'
 '-fliberate-case' '-flate-dmd-anal' '-ffloat-in'
 '-funfolding-dict-discount=30' '-fignore-asserts']",fast,0.211,0.211
25,be1fccda-6110-4993-8da8-5f8276167725,"['-O0' '-fstrictness' '-fliberate-case' '-fspec-constr-count=3'
 '-fcase-merge' '-fvectorise' '-funbox-small-strict-fields'
 '-fignore-interface-pragmas' '-fexcess-precision'
 '-fexpose-all-unfoldings' '-fdmd-tx-dict-sel' '-ffull-laziness'
 '-fstatic-argument-transformation' '-fno-state-hack' '-flate-dmd-anal'
 '-fdicts-cheap' '-fmax-simplifier-iterations=4'
 '-fmax-inline-alloc-size=128' '-fliberate-case-threshold=2000']",fast,0.211,0.211
26,9d617b4f-9d13-4cf1-aee8-afd059f91c8d,"['-O0' '-fcmm-elim-common-blocks' '-floopification'
 '-fstrictness-before=1' '-fomit-yields' '-fcmm-sink'
 '-fenable-rewrite-rules' '-fsimplifier-phases=2' '-funbox-strict-fields'
 '-fmax-inline-alloc-size=128' '-fliberate-case' '-fdicts-cheap'
 '-fcpr-anal' '-fcse' '-fvectorise' '-funfolding-keeness-factor=1.5'
 '-fspec-constr-threshold=2000' '-ffull-laziness' '-fcase-merge']",fast,0.212,0.212
27,a88b1c07-73cc-4993-ab81-5f67f857dbc9,"['-O0' '-ffloat-in' '-fcross-module-specialise' '-ffloat-in'
 '-fregs-graph' '-fcmm-sink' '-fsimplifier-phases=2' '-fno-opt-coercion'
 '-fcpr-anal' '-fsimplifier-phases=2' '-fdicts-cheap'
 '-fsimpl-tick-factor=100' '-fworker-wrapper' '-ffull-laziness'
 '-ffun-to-thunk' '-fomit-interface-pragmas' '-fdmd-tx-dict-sel'
 '-fdo-lambda-eta-expansion' '-fignore-asserts']",fast,0.212,0.212
28,4059f861-15a2-49bb-9938-e845c423254d,"['-O0' '-floopification' '-fspec-constr-count=3' '-fspec-constr-count=3'
 '-fsimpl-tick-factor=100' '-fdicts-cheap' '-funbox-small-strict-fields'
 '-foptimal-applicative-do' '-fno-state-hack' '-fregs-iterative'
 '-funbox-strict-fields' '-fignore-interface-pragmas'
 '-funfolding-use-threshold=60' '-funfolding-fun-discount=60'
 '-fdmd-tx-dict-sel' '-fmax-inline-memcpy-insns=32'
 '-fsimplifier-phases=2' '-fno-state-hack' '-fexpose-all-unfoldings']",fast,0.214,0.214
29,4b63f0bb-ae81-40ab-8641-1e5060d91f89,"['-O0' '-fstrictness' '-fcall-arity' '-fsimpl-tick-factor=100'
 '-fmax-simplifier-iterations=4' '-fexpose-all-unfoldings'
 '-fexcess-precision' '-ffull-laziness' '-fexpose-all-unfoldings'
 '-fno-opt-coercion' '-funfolding-use-threshold=60' '-fcall-arity'
 '-ffull-laziness' '-fstrictness-before=1' '-ffull-laziness'
 '-fstrictness' '-fvectorise' '-fspec-constr-count=3' '-fdicts-strict']",fast,0.215,0.215
30,b37aa891-3b92-43fb-b815-bb627255eb5a,"['-O0' '-fspec-constr' '-fvectorise' '-fmax-relevant-binds=6'
 '-fcross-module-specialise' '-funfolding-fun-discount=60'
 '-fliberate-case' '-fenable-rewrite-rules'
 '-fliberate-case-threshold=2000' '-fworker-wrapper' '-fspecialise'
 '-fmax-worker-args=10' '-fsimpl-tick-factor=100'
 '-funfolding-fun-discount=60' '-funfolding-use-threshold=60'
 '-fdmd-tx-dict-sel' '-fdicts-cheap' '-ffull-laziness' '-ffloat-in']",fast,0.214,0.214
31,a5d66c19-112e-471b-a3ed-5bc35babdf0d,"['-O0' '-funbox-strict-fields' '-fliberate-case-threshold=2000'
 '-fomit-yields' '-funbox-strict-fields' '-fvectorisation-avoidance'
 '-fno-state-hack' '-fregs-graph' '-fsimpl-tick-factor=100'
 '-fno-opt-coercion' '-fignore-asserts' '-fcse'
 '-funfolding-keeness-factor=1.5' '-ffloat-in' '-fcmm-elim-common-blocks'
 '-funfolding-dict-discount=30' '-funfolding-keeness-factor=1.5'
 '-feager-blackholing' '-fdo-eta-reduction']",fast,0.213,0.213
32,25b14b94-fe81-48ad-8356-444b69f8b177,"['-O0' '-fworker-wrapper' '-floopification' '-fmax-inline-alloc-size=128'
 '-fspec-constr' '-fomit-interface-pragmas' '-funfolding-fun-discount=60'
 '-fcase-merge' '-fregs-graph' '-fmax-worker-args=10'
 '-funfolding-creation-threshold=750' '-fignore-interface-pragmas'
 '-ffull-laziness' '-floopification' '-fsimplifier-phases=2'
 '-foptimal-applicative-do' '-fmax-worker-args=10'
 '-fcmm-elim-common-blocks' '-fvectorisation-avoidance']",fast,0.213,0.213
33,e414af87-ec5a-4a9b-a648-dbce0eb893f9,"['-O0' '-fdmd-tx-dict-sel' '-fdo-eta-reduction' '-fno-state-hack'
 '-fignore-asserts' '-fexcess-precision'
 '-funfolding-creation-threshold=750' '-fsimplifier-phases=2'
 '-funfolding-dict-discount=30' '-ffloat-in' '-fdo-eta-reduction'
 '-fspec-constr-count=3' '-fmax-inline-alloc-size=128'
 '-funfolding-use-threshold=60' '-fignore-asserts'
 '-funfolding-fun-discount=60' '-fregs-iterative'
 '-fvectorisation-avoidance' '-fexcess-precision']",fast,0.211,0.211
34,72561153-6eb8-41ab-b779-b4e8aaad815a,"['-O0' '-fregs-iterative' '-fmax-relevant-binds=6'
 '-funfolding-fun-discount=60' '-fdo-lambda-eta-expansion' '-fspecialise'
 '-fexcess-precision' '-fcse' '-fomit-yields' '-floopification'
 '-fvectorise' '-fregs-graph' '-ffull-laziness' '-fexcess-precision'
 '-fvectorisation-avoidance' '-fno-opt-coercion' '-fmax-relevant-binds=6'
 '-fstatic-argument-transformation' '-fmax-simplifier-iterations=4']",fast,0.211,0.211
35,04177dca-7821-4385-bfab-890dc181a789,"['-O0' '-fexcess-precision' '-ffull-laziness' '-fdmd-tx-dict-sel'
 '-fignore-interface-pragmas' '-flate-dmd-anal' '-fdmd-tx-dict-sel'
 '-fvectorise' '-funfolding-use-threshold=60' '-fpedantic-bottoms' '-fcse'
 '-fstrictness-before=1' '-fcpr-anal' '-funfolding-creation-threshold=750'
 '-fregs-iterative' '-fstatic-argument-transformation'
 '-feager-blackholing' '-funfolding-keeness-factor=1.5' '-fvectorise']",fast,0.213,0.213
36,08ccf890-ecee-4f94-809d-b9498ecc9488,"['-O0' '-fsimpl-tick-factor=100' '-fstrictness-before=1'
 '-fexcess-precision' '-fexcess-precision' '-funfolding-use-threshold=60'
 '-fmax-inline-memcpy-insns=32' '-fcpr-anal' '-fdicts-strict'
 '-fsimplifier-phases=2' '-foptimal-applicative-do'
 '-fstrictness-before=1' '-flate-dmd-anal' '-fmax-simplifier-iterations=4'
 '-fliberate-case-threshold=2000' '-funfolding-fun-discount=60'
 '-fstrictness-before=1' '-fno-opt-coercion' '-fstrictness']",fast,0.213,0.213
37,5a6c44ed-cd4a-488d-a862-7a8865ef8cf7,"['-O0' '-ffloat-in' '-fsimpl-tick-factor=100' '-fcross-module-specialise'
 '-funbox-small-strict-fields' '-fno-pre-inlining'
 '-fspec-constr-threshold=2000' '-funfolding-creation-threshold=750'
 '-fcall-arity' '-fcse' '-fspec-constr-count=3' '-feager-blackholing'
 '-fcpr-anal' '-fsimplifier-phases=2' '-fstrictness' '-fomit-yields'
 '-fspecialise' '-fspecialise' '-foptimal-applicative-do']",fast,0.211,0.211
38,10d51cdb-c211-45d8-8527-4a5096e0e406,"['-O0' '-fmax-inline-memcpy-insns=32' '-flate-dmd-anal'
 '-foptimal-applicative-do' '-fcmm-elim-common-blocks' '-fno-pre-inlining'
 '-fcpr-anal' '-fspec-constr-threshold=2000' '-fcross-module-specialise'
 '-ffun-to-thunk' '-fdicts-cheap' '-funbox-strict-fields'
 '-fignore-asserts' '-fsimpl-tick-factor=100' '-fstrictness-before=1'
 '-fvectorise' '-fliberate-case-threshold=2000'
 '-fmax-simplifier-iterations=4' '-fmax-inline-memcpy-insns=32']",fast,0.213,0.213
39,af52fc73-b4b3-4a83-8978-e4813b139927,"['-O0' '-fdicts-cheap' '-fstrictness' '-fcmm-sink'
 '-funbox-small-strict-fields' '-fliberate-case'
 '-funfolding-keeness-factor=1.5' '-funfolding-keeness-factor=1.5'
 '-fstrictness' '-funfolding-fun-discount=60' '-fsimpl-tick-factor=100'
 '-fspec-constr-threshold=2000' '-fspec-constr-count=3' '-fregs-iterative'
 '-fmax-worker-args=10' '-fmax-simplifier-iterations=4'
 '-foptimal-applicative-do' '-ffun-to-thunk' '-funfolding-fun-discount=60']",fast,0.211,0.211
40,784b1533-0f33-4eb3-b57b-b5884dd5dd8f,"['-O0' '-fignore-interface-pragmas' '-fcse' '-funfolding-fun-discount=60'
 '-funfolding-creation-threshold=750' '-ffloat-in' '-fno-opt-coercion'
 '-flate-dmd-anal' '-fcse' '-fdicts-strict' '-fignore-asserts'
 '-fregs-iterative' '-fdo-lambda-eta-expansion' '-fdmd-tx-dict-sel'
 '-fvectorisation-avoidance' '-fomit-interface-pragmas'
 '-fpedantic-bottoms' '-feager-blackholing' '-floopification']",fast,0.211,0.211
41,83c8e19c-60a1-442e-870d-7c547b17ee87,"['-O0' '-fstrictness' '-fmax-worker-args=10'
 '-fmax-inline-memset-insns=32' '-fenable-rewrite-rules'
 '-fcross-module-specialise' '-fcpr-anal' '-funbox-strict-fields' '-fcse'
 '-fdicts-cheap' '-fpedantic-bottoms' '-fmax-inline-memset-insns=32'
 '-fpedantic-bottoms' '-fsimpl-tick-factor=100' '-fignore-asserts'
 '-funbox-strict-fields' '-funfolding-creation-threshold=750'
 '-funfolding-use-threshold=60' '-funfolding-use-threshold=60']",fast,0.211,0.211
42,d05c624c-2800-465f-a095-1b6bbddab9f6,"['-O0' '-fmax-inline-memset-insns=32' '-fsimplifier-phases=2'
 '-fmax-inline-memset-insns=32' '-fspec-constr'
 '-funfolding-dict-discount=30' '-fvectorisation-avoidance'
 '-fpedantic-bottoms' '-fignore-asserts' '-fcase-merge'
 '-fmax-inline-memset-insns=32' '-fpedantic-bottoms'
 '-fliberate-case-threshold=2000' '-fcse' '-fcross-module-specialise'
 '-funfolding-fun-discount=60' '-ffloat-in' '-fcross-module-specialise'
 '-fmax-inline-alloc-size=128']",fast,0.211,0.211
43,632c7eb8-edb9-497b-857a-009d09c1833a,"['-O0' '-fstrictness-before=1' '-funfolding-use-threshold=60'
 '-fcase-merge' '-fdo-lambda-eta-expansion' '-fdmd-tx-dict-sel'
 '-fvectorise' '-fspecialise' '-fno-pre-inlining' '-fcse' '-fspec-constr'
 '-funfolding-dict-discount=30' '-fcall-arity' '-ffull-laziness'
 '-fignore-asserts' '-ffull-laziness' '-flate-dmd-anal'
 '-funbox-small-strict-fields' '-fdmd-tx-dict-sel']",fast,0.211,0.211
44,2d85b41a-129a-4a33-ba44-d0b394025ff4,"['-O0' '-fstatic-argument-transformation' '-fsimplifier-phases=2'
 '-fdicts-cheap' '-fvectorise' '-fsimpl-tick-factor=100' '-fregs-graph'
 '-fmax-simplifier-iterations=4' '-fcmm-elim-common-blocks'
 '-fexcess-precision' '-fcall-arity' '-fmax-inline-alloc-size=128'
 '-fspecialise' '-fdo-lambda-eta-expansion' '-fignore-asserts'
 '-flate-dmd-anal' '-fcse' '-fexcess-precision' '-fcpr-anal']",fast,0.211,0.211
45,71a10c33-1f38-4cd0-a3cf-7b292b774010,"['-O0' '-fspec-constr-count=3' '-fno-state-hack' '-ffun-to-thunk'
 '-fmax-inline-alloc-size=128' '-fstrictness' '-fpedantic-bottoms'
 '-fdicts-strict' '-floopification' '-fdmd-tx-dict-sel' '-fworker-wrapper'
 '-fstrictness-before=1' '-fregs-iterative' '-ffun-to-thunk'
 '-fignore-interface-pragmas' '-fno-pre-inlining' '-funbox-strict-fields'
 '-fmax-inline-memset-insns=32' '-fstrictness']",fast,0.211,0.211
46,8bf400c7-2e0b-4473-803f-9e5bf2f4c076,"['-O0' '-funfolding-fun-discount=60' '-fsimpl-tick-factor=100'
 '-fregs-graph' '-ffloat-in' '-fomit-yields' '-fmax-inline-alloc-size=128'
 '-fenable-rewrite-rules' '-fomit-interface-pragmas' '-fspecialise'
 '-fmax-worker-args=10' '-fdicts-cheap' '-fmax-simplifier-iterations=4'
 '-funfolding-keeness-factor=1.5' '-fstrictness-before=1'
 '-funfolding-creation-threshold=750' '-fmax-inline-memcpy-insns=32'
 '-fspec-constr' '-fmax-simplifier-iterations=4']",fast,0.214,0.214
